treatment,work_interfere,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,coworkers,supervisor,mental_health_interview,mental_vs_physical,obs_consequence
Yes,Sometimes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,Some of them,Some of them,No,No,No
Yes,Often,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,No,No
Yes,Rarely,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,Yes,Yes,No,Don't know,No
Yes,Rarely,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,Yes,No
Yes,Sometimes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,Some of them,No,No,No,No
No,Sometimes,No,No,No,No,Don't know,Very difficult,Yes,Some of them,No,No,No,No
No,Never,No,No,No,No,Don't know,Don't know,Yes,Some of them,Some of them,No,No,No
Yes,Sometimes,Don't know,No,No,No,Yes,Somewhat easy,Maybe,Some of them,Yes,No,Don't know,No
Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Some of them,Some of them,Maybe,Don't know,No
Yes,Sometimes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,No,Yes,No
Yes,Rarely,No,Yes,No,No,Don't know,Very easy,No,Yes,Yes,Maybe,Don't know,No
No,Rarely,No,No,No,No,Don't know,Very easy,Yes,Some of them,No,No,Don't know,No
Yes,Rarely,Yes,Yes,No,Yes,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No
Yes,Sometimes,No,No,No,No,Don't know,Don't know,Maybe,Some of them,No,No,No,Yes
Yes,Sometimes,No,Yes,No,No,Yes,Very difficult,Maybe,Some of them,No,No,Yes,No
No,Often,No,Not sure,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,No
Yes,Sometimes,Don't know,No,No,No,Don't know,Don't know,No,No,No,No,Don't know,No
Yes,Sometimes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No
Yes,Rarely,Yes,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,No,Don't know,No
Yes,Often,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,Don't know,No
No,Never,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,Don't know,No
Yes,Rarely,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,Don't know,No
Yes,Sometimes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,Yes,No,No
Yes,Often,Don't know,No,No,No,No,Somewhat difficult,Yes,No,No,No,Don't know,No
Yes,Sometimes,Don't know,Not sure,Yes,Yes,Yes,Very easy,No,Yes,Yes,Maybe,Yes,No
No,Never,Yes,Not sure,No,Yes,Don't know,Somewhat easy,No,Yes,Yes,Maybe,Yes,No
No,Sometimes,Don't know,No,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,Don't know,No
No,Sometimes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Some of them,No,No,No,Yes
Yes,Often,No,Not sure,No,No,Don't know,Very easy,No,Some of them,Yes,No,Yes,No
No,Sometimes,Yes,No,Don't know,Yes,Don't know,Don't know,Maybe,Some of them,Some of them,Maybe,Yes,No
No,Never,No,No,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No
No,Never,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,Don't know,No
No,Rarely,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,Yes,Yes,No,No,No
No,Never,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Yes,No
Yes,Sometimes,No,No,No,No,Don't know,Somewhat difficult,Yes,Some of them,No,No,No,No
No,Never,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Some of them,Some of them,Maybe,Yes,No
No,Sometimes,Yes,Yes,No,Yes,Don't know,Don't know,No,Yes,Some of them,Maybe,Yes,No
No,Never,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,Some of them,Yes,Maybe,Yes,No
No,Never,No,No,No,No,Don't know,Don't know,Yes,No,No,No,No,No
Yes,Rarely,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,No,Don't know,No
Yes,Sometimes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,Yes
No,Never,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Yes,No
Yes,Sometimes,No,Yes,No,No,Yes,Very difficult,No,Yes,Yes,Yes,No,No
Yes,Sometimes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,No,Don't know,No
No,Never,Don't know,No,No,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,No,No
No,Rarely,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Some of them,No,No,Don't know,No
Yes,Sometimes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,No,No
Yes,Sometimes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,No,No,No,No
Yes,Often,No,Yes,No,No,Yes,Somewhat easy,No,Yes,Yes,Maybe,Yes,No
No,Never,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,Don't know,No
Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Yes,No
No,Never,Yes,Not sure,Yes,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,Don't know,No
No,Rarely,Yes,Not sure,No,No,Yes,Somewhat easy,No,Some of them,Yes,No,Don't know,No
Yes,Sometimes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,No,No
Yes,Rarely,No,No,No,No,No,Don't know,Maybe,Yes,Yes,No,Don't know,Yes
No,Never,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No
Yes,Sometimes,Yes,No,Yes,Yes,Yes,Somewhat difficult,Maybe,Some of them,Yes,No,Yes,No
Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Don't know,Yes,No,No,No,No,No
Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Some of them,No,Yes,No
Yes,Rarely,Yes,Yes,No,Yes,Yes,Very easy,No,Yes,Yes,Yes,Yes,No
No,Never,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No
No,Never,Don't know,No,No,Don't know,Don't know,Very easy,No,Some of them,Some of them,No,Don't know,Yes
Yes,Rarely,No,No,No,No,Yes,Very easy,No,Some of them,No,No,Don't know,No
No,Never,Yes,Yes,No,Yes,Don't know,Don't know,Yes,No,No,No,Don't know,No
Yes,Sometimes,Don't know,No,Don't know,Don't know,Yes,Very easy,No,Yes,Yes,No,Yes,No
No,Often,Yes,No,No,No,Yes,Don't know,Maybe,No,No,No,Don't know,No
No,Never,Yes,No,Yes,Yes,Yes,Don't know,Yes,Some of them,No,No,Don't know,No
Yes,Rarely,Yes,Yes,No,Yes,Yes,Don't know,Yes,No,Yes,No,Don't know,No
No,Sometimes,No,No,No,No,Don't know,Somewhat easy,Maybe,No,No,No,Yes,No
Yes,Sometimes,Don't know,No,No,No,Don't know,Somewhat easy,Yes,Some of them,No,No,Don't know,No
Yes,Sometimes,Yes,Yes,No,No,Don't know,Very easy,Maybe,Yes,Some of them,No,No,No
No,Rarely,No,Yes,No,No,Don't know,Very difficult,Maybe,Yes,Some of them,No,Don't know,No
No,Never,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,Don't know,No
Yes,Never,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Don't know,No
No,Never,Don't know,No,No,No,Yes,Very easy,No,Some of them,Yes,Maybe,Yes,No
Yes,Often,Yes,Not sure,No,No,Don't know,Somewhat easy,No,Yes,Yes,No,Don't know,No
Yes,Sometimes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,No,Don't know,No
No,Never,No,No,No,No,Yes,Don't know,Maybe,No,Some of them,No,Don't know,No
Yes,Rarely,No,Yes,Yes,Yes,Don't know,Somewhat easy,Yes,Some of them,No,No,No,Yes
No,Never,Don't know,Not sure,No,No,Don't know,Very easy,No,Some of them,Some of them,No,No,No
No,Rarely,No,No,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,Yes,No
No,Never,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,Maybe,Don't know,No
Yes,Sometimes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,No,Don't know,No
Yes,Rarely,No,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Yes,No,Don't know,Yes
Yes,Sometimes,Don't know,Not sure,No,No,Don't know,Very easy,Maybe,Some of them,No,No,Don't know,Yes
Yes,Sometimes,Yes,No,No,No,Don't know,Don't know,Yes,Some of them,Some of them,No,Don't know,No
No,Never,Yes,No,No,Yes,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No
No,Rarely,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,Don't know,No
No,Never,No,No,No,No,Don't know,Very easy,Maybe,Some of them,Some of them,No,Don't know,No
No,Rarely,Don't know,Not sure,Yes,Don't know,Don't know,Very easy,Maybe,Some of them,Some of them,No,Don't know,No
Yes,Sometimes,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,Yes,Yes,No,Don't know,No
Yes,Never,Don't know,Not sure,No,No,Don't know,Very difficult,Yes,No,No,Maybe,No,No
No,Never,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,Don't know,No
Yes,Often,Yes,Not sure,Don't know,Don't know,Yes,Very easy,No,Yes,Yes,No,Yes,Yes
Yes,Sometimes,Yes,No,No,No,Yes,Somewhat difficult,No,Yes,Yes,No,Yes,No
No,Never,No,No,No,No,No,Don't know,Maybe,No,Yes,Maybe,No,No
No,Never,Don't know,No,No,Don't know,Yes,Somewhat easy,No,Yes,Yes,Maybe,Don't know,No
Yes,Sometimes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,No,Don't know,No
Yes,Often,Yes,Not sure,No,Don't know,Don't know,Very difficult,Yes,No,No,No,No,No
No,Sometimes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,Some of them,Yes,Maybe,Yes,No
Yes,Never,Yes,Not sure,Don't know,No,Yes,Somewhat easy,Maybe,No,No,No,Don't know,No
Yes,Sometimes,Yes,No,No,No,Don't know,Somewhat easy,Maybe,Some of them,No,No,No,No
No,Sometimes,No,No,No,No,Don't know,Don't know,Yes,No,No,No,Don't know,No
Yes,Rarely,No,No,No,No,Yes,Don't know,No,Some of them,Yes,No,Don't know,No
No,Sometimes,No,No,No,No,Don't know,Very difficult,Yes,Some of them,No,No,No,Yes
No,Never,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,No,No,Don't know,No
No,Rarely,Yes,No,No,No,Yes,Somewhat easy,No,Some of them,Yes,No,No,No
Yes,Sometimes,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,No,No,Don't know,No
Yes,Sometimes,Yes,No,No,No,Don't know,Very easy,No,Some of them,Some of them,No,Yes,No
Yes,Often,No,Not sure,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,Maybe,Don't know,No
No,Sometimes,No,Yes,No,No,Don't know,Very difficult,Yes,No,No,No,Don't know,No
Yes,Sometimes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,Yes
Yes,Sometimes,No,Yes,No,No,Don't know,Somewhat difficult,No,Some of them,Some of them,Maybe,Yes,No
Yes,Often,No,Yes,No,No,Yes,Somewhat easy,Maybe,Yes,Yes,No,Don't know,No
No,Never,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No
Yes,Sometimes,Don't know,No,No,No,No,Don't know,Yes,Some of them,Some of them,No,No,Yes
No,Rarely,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Don't know,No
Yes,Sometimes,No,Yes,No,No,Yes,Very difficult,Yes,No,Some of them,No,No,No
No,Never,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Yes,No,Yes,No
No,Rarely,No,Yes,No,No,Don't know,Very difficult,No,Some of them,Yes,No,Yes,No
No,Never,Yes,Not sure,No,Don't know,Don't know,Very easy,Maybe,Some of them,No,Maybe,Yes,No
Yes,Sometimes,Yes,No,No,Yes,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,Yes
Yes,Rarely,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,Maybe,No,No
No,Sometimes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Yes,No,No,No
No,Never,No,No,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,No
Yes,Often,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No
Yes,Sometimes,No,No,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Some of them,No,No,Yes
Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Don't know,No
No,Never,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Yes,No
Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,No,No,No,No,Yes
Yes,Sometimes,No,No,No,No,Don't know,Don't know,Maybe,Yes,Yes,No,Don't know,No
Yes,Rarely,Yes,Yes,Yes,Don't know,Yes,Very easy,No,Some of them,Yes,No,Yes,No
No,Sometimes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,Don't know,No
No,Often,No,No,No,No,Don't know,Somewhat difficult,Yes,No,No,No,Don't know,No
Yes,Sometimes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Yes,No
No,Never,No,Yes,No,Yes,Don't know,Somewhat easy,No,Some of them,Yes,No,Yes,No
Yes,Often,No,Yes,No,No,No,Very difficult,Yes,No,No,No,No,Yes
Yes,Rarely,Yes,No,No,No,Yes,Don't know,Maybe,Yes,No,No,Don't know,No
No,Sometimes,No,Yes,No,No,No,Very difficult,Yes,Some of them,Some of them,No,No,No
Yes,Sometimes,Yes,Yes,No,Yes,Yes,Don't know,No,Yes,Yes,Maybe,Yes,No
Yes,Rarely,No,Yes,No,No,Yes,Very difficult,Maybe,Some of them,Some of them,No,No,No
Yes,Sometimes,Yes,Yes,Don't know,No,Don't know,Very easy,No,Yes,Yes,Yes,Yes,No
Yes,Often,Yes,Yes,No,No,Yes,Don't know,Maybe,Some of them,Some of them,No,Don't know,No
No,Never,No,No,No,No,Don't know,Very easy,No,Yes,Yes,No,Don't know,No
No,Sometimes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Yes,Some of them,No,Don't know,No
Yes,Rarely,Yes,No,No,No,Don't know,Don't know,Yes,No,No,No,No,No
No,Sometimes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,Don't know,No
No,Sometimes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No,No
No,Never,No,No,No,No,Yes,Don't know,Yes,No,No,No,Don't know,No
Yes,Sometimes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No,No,No,Don't know,No
Yes,Sometimes,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No,Some of them,No,Don't know,No
Yes,Sometimes,No,No,No,No,Yes,Somewhat easy,Maybe,Yes,Yes,Yes,Yes,No
Yes,Rarely,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No
No,Never,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,Some of them,Some of them,No,Yes,No
Yes,Sometimes,No,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,Don't know,Yes
Yes,Rarely,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,Maybe,Some of them,No,No,Don't know,No
No,Never,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,No,Don't know,No
Yes,Sometimes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,Some of them,Some of them,No,Don't know,No
No,Never,Yes,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No
Yes,Never,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,Yes,Some of them,No,Don't know,No
Yes,Sometimes,Yes,Yes,Yes,Don't know,Don't know,Very easy,No,Yes,Yes,No,Yes,No
Yes,Sometimes,Yes,No,Yes,Yes,Don't know,Don't know,Yes,No,No,No,Don't know,No
No,Never,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Maybe,Don't know,No
Yes,Sometimes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Some of them,No,Yes,No
Yes,Sometimes,Yes,Not sure,Don't know,Don't know,Yes,Somewhat easy,No,Yes,Yes,No,Yes,No
No,Rarely,Yes,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No
Yes,Rarely,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,Some of them,Yes,No,Yes,No
Yes,Often,Yes,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,Maybe,Yes,No
Yes,Rarely,Yes,Not sure,No,No,Don't know,Somewhat easy,Maybe,Some of them,Yes,No,Don't know,No
No,Sometimes,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,Some of them,Yes,No,Don't know,No
Yes,Rarely,Yes,Not sure,Don't know,Yes,Don't know,Don't know,No,Some of them,Yes,No,Don't know,No
Yes,Sometimes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,No,No,No
Yes,Often,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,No,Yes,Yes
Yes,Rarely,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Yes,No
Yes,Sometimes,Yes,No,No,Don't know,Don't know,Don't know,Yes,Some of them,Some of them,No,No,No
No,Never,Yes,Not sure,Don't know,Yes,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Yes,No
Yes,Sometimes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,Some of them,No,No,Don't know,No
Yes,Rarely,Yes,No,Don't know,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No
No,Never,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,No,Don't know,No
Yes,Sometimes,Don't know,Not sure,Don't know,Yes,Don't know,Don't know,No,Yes,Yes,No,Yes,No
Yes,Sometimes,Yes,Yes,No,Don't know,Don't know,Don't know,Yes,Some of them,No,No,No,No
No,Never,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,Some of them,Some of them,Maybe,Don't know,No
Yes,Sometimes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No,No,No,Don't know,No
No,Sometimes,No,Yes,No,No,Don't know,Very difficult,Yes,Some of them,Some of them,No,No,No
No,Sometimes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Yes,No,No,No,No,No
No,Rarely,Don't know,No,No,No,Don't know,Don't know,Yes,No,No,No,No,No
Yes,Sometimes,Yes,Yes,No,No,Yes,Don't know,No,Some of them,Yes,No,Don't know,No
Yes,Never,Don't know,No,Yes,Yes,Don't know,Don't know,No,No,Yes,No,Don't know,No
No,Sometimes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,Don't know,No
Yes,Sometimes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,Yes,No
Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,No,Yes,No
No,Never,No,No,No,Don't know,Don't know,Very easy,No,Some of them,Yes,No,Yes,No
Yes,Often,Yes,Not sure,Don't know,Yes,Don't know,Don't know,Maybe,Some of them,No,No,Don't know,No
No,Sometimes,Yes,Yes,Yes,No,Don't know,Somewhat easy,No,Some of them,Yes,No,No,No
Yes,Sometimes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,No,Don't know,No
Yes,Sometimes,Yes,Yes,Don't know,Yes,Yes,Don't know,Maybe,No,No,No,Don't know,No
Yes,Sometimes,No,No,No,No,Don't know,Somewhat easy,Yes,Some of them,Some of them,No,Don't know,No
Yes,Often,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,No,No,No
Yes,Sometimes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,Maybe,No,No,No,No,No
Yes,Often,No,Yes,No,No,Yes,Very easy,No,Some of them,Some of them,No,Don't know,No
Yes,Rarely,Yes,No,No,Don't know,Yes,Don't know,No,Yes,Yes,Maybe,Don't know,No
Yes,Often,Yes,No,Yes,Yes,Don't know,Somewhat difficult,Maybe,Yes,Some of them,No,No,Yes
Yes,Rarely,Yes,Yes,Yes,Yes,Yes,Very easy,No,Yes,Yes,No,Yes,No
Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Some of them,Yes,No,Yes,No
Yes,Rarely,Don't know,Not sure,Don't know,No,Don't know,Somewhat easy,Yes,Some of them,No,No,Don't know,No
Yes,Never,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,Don't know,No
Yes,Rarely,Yes,Yes,No,No,Yes,Don't know,Yes,No,No,No,No,No
Yes,Sometimes,Don't know,No,No,No,Don't know,Don't know,Maybe,Some of them,Yes,No,Yes,No
Yes,Never,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,No,No,Don't know,No
Yes,Never,Yes,Not sure,No,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,No,Don't know,No
Yes,Rarely,Yes,No,Yes,Yes,Yes,Don't know,No,Some of them,Yes,No,Yes,No
Yes,Sometimes,Yes,No,No,No,Don't know,Don't know,No,Yes,Yes,No,Don't know,No
Yes,Often,No,No,No,No,Yes,Somewhat easy,No,Yes,Yes,No,No,No
Yes,Sometimes,Don't know,No,No,No,Don't know,Don't know,Yes,Some of them,No,No,No,No
Yes,Rarely,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Yes,No,Don't know,No
No,Never,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Don't know,No
Yes,Sometimes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,Some of them,No,No,Don't know,No
Yes,Rarely,Yes,Yes,No,Yes,Yes,Don't know,Maybe,Some of them,No,No,Don't know,No
No,Never,Don't know,No,No,Don't know,Don't know,Somewhat easy,Yes,Some of them,No,No,Don't know,No
Yes,Often,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,No,Yes,No
No,Sometimes,No,No,No,No,Don't know,Very difficult,Maybe,Some of them,Yes,No,No,Yes
No,Never,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,No,Don't know,No
Yes,Sometimes,Don't know,Not sure,Don't know,Don't know,Yes,Somewhat easy,Maybe,Some of them,Some of them,No,Yes,No
Yes,Often,Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,Some of them,Yes,No,No,No
Yes,Sometimes,Yes,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,No,No,No
Yes,Sometimes,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,No,No,Yes
